Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},エラー: {0},,General error prefix
_Language,Japanese,Japanese,,Language name - in English
_LanguageNative,Japanese,日本語,,Language name in the native language
_LanguageCode,jp,jp,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker Studio 2,GameMaker Studio 2,,IDE title
_MANUAL_LOCATION,http://zeus.yoyogames.com/GMS2_English-master.zip,http://zeus.yoyogames.com/GMS2_English-master.zip,,Location of language manual
$win_OpenInExplorer,Open In Explorer,エクスプローラー で開く,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,プロジェクトを エクスプローラー で開く,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,ログを エクスプローラー で開く,,Windows version of Show Log In Explorer
$win_explorer,explorer,エクスプローラー,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Finder で表示,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,プロジェクトを Finder で表示,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,ログを Finder で表示,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$win_FileMenuExit,Exit,終了,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,終了,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,GameMaker Studio 2 について,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker Studio 2,GameMaker Studio 2 について,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,ウィンドウ,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,ウィンドウ,,Mac version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,右 Ctrl + 右 Alt,,Windows version of laptop mode keys
$mac_LaptopRHSKeys,Right Command and Right Alt,右 Command + 右 Alt,,Mac version of laptop mode keys
$win_LaptopLZoomKey,Left Control,左 Ctrl,,Windows laptop mode zoom key
$mac_LaptopLZoomKey,Left Command,左 Command,,Mac laptop mode zoom key
Account_Menu_Login,Login,ログイン,,"Account menu ""Login"""
Account_Menu_Logout,Logout,ログアウト,,"Acount menu ""Logout"""
Account_Menu_ManageAccount,Manage Account,アカウントの管理,,"Account menu ""Account"""
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,指定されたトランジション '{0}' は無効です,,The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,Horizontal Speed,水平速度,,Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,Horizontal Tile,水平に並べて表示,,Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,<no background>,<背景なし>,,no background selected caption for the background layer button
BackgroundLayer_PosX,X Offset,オフセット X,,Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,オフセット Y,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,ストレッチ,,Checkbox label for stretch
BackgroundLayer_VSpeed,Vertical Speed,垂直速度,,Numeric textbox label for vertical scroll speed
BackgroundLayer_VTile,Vertical Tile,垂直に並べて表示,,Checkbox label for vertical tiling
Breakpoints,Breakpoints,ブレークポイント,,Breakpoints
